player_id,player_name,club,position,model_rank,market_pick,value_delta,tier,projected_points,projection_low,projection_high,upside,floor,risk,profile,is_synthetic
SYN-101,Demo Solstice WR-17,Demo Club Kestrel,WR,44,43.5,-0.5,Starter,244.1,179.4,289.3,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-041,Demo Garnet RB-17,Demo Club Kestrel,RB,45,30.1,-14.9,Starter,254.6,175.7,289.0,1,3,4,Balanced fictional projection across the demo inputs.,True
SYN-039,Demo Solstice RB-15,Demo Club Grove,RB,46,31.5,-14.5,Starter,257.1,177.4,311.1,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-102,Demo Axiom WR-18,Demo Club Aurora,WR,47,29.5,-17.5,Starter,257.4,189.2,317.9,5,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-165,Demo Solstice TE-09,Demo Club Grove,TE,48,34.6,-13.4,Starter,215.1,154.8,249.5,2,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-103,Demo Garnet WR-19,Demo Club Comet,WR,49,50.0,1.0,Starter,239.7,169.0,284.0,3,4,3,Balanced fictional projection across the demo inputs.,True
SYN-163,Demo Garnet TE-07,Demo Club Comet,TE,50,72.3,22.3,Starter,218.9,154.3,264.8,4,2,3,Balanced fictional projection across the demo inputs.,True
SYN-166,Demo Axiom TE-10,Demo Club Ion,TE,51,58.6,7.6,Starter,217.4,146.8,252.2,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-042,Demo Mosaic RB-18,Demo Club Aurora,RB,52,52.5,0.5,Starter,248.9,175.4,301.1,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-006,Demo Mosaic QB-06,Demo Club Aurora,QB,53,45.6,-7.4,Starter,331.9,234.0,385.0,2,2,3,Balanced fictional projection across the demo inputs.,True
SYN-106,Demo Axiom WR-22,Demo Club Ion,WR,54,40.3,-13.7,Starter,244.4,176.0,283.5,2,3,2,Stable illustrative workload with a narrow demo range.,True
SYN-105,Demo Solstice WR-21,Demo Club Grove,WR,55,71.8,16.8,Starter,237.2,174.4,281.1,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-104,Demo Mosaic WR-20,Demo Club Ember,WR,56,89.2,33.2,Starter,254.0,182.9,307.4,4,3,2,Stable illustrative workload with a narrow demo range.,True
SYN-007,Demo Solstice QB-07,Demo Club Comet,QB,57,64.8,7.8,Starter,316.0,218.0,382.4,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-043,Demo Solstice RB-19,Demo Club Comet,RB,58,36.7,-21.3,Starter,244.7,172.5,283.8,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-167,Demo Garnet TE-11,Demo Club Kestrel,TE,59,51.6,-7.4,Starter,195.2,137.6,226.5,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-046,Demo Mosaic RB-22,Demo Club Ion,RB,60,65.2,5.2,Starter,226.6,156.4,274.2,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-044,Demo Axiom RB-20,Demo Club Ember,RB,61,62.2,1.2,Starter,237.5,163.9,281.5,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-109,Demo Solstice WR-25,Demo Club Comet,WR,62,76.1,14.1,Starter,226.6,159.7,268.5,3,2,3,Balanced fictional projection across the demo inputs.,True
SYN-168,Demo Mosaic TE-12,Demo Club Aurora,TE,63,61.3,-1.7,Starter,189.2,133.4,224.2,3,4,3,Balanced fictional projection across the demo inputs.,True
SYN-045,Demo Garnet RB-21,Demo Club Grove,RB,64,44.1,-19.9,Starter,233.1,157.4,282.1,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-108,Demo Mosaic WR-24,Demo Club Aurora,WR,65,52.7,-12.3,Starter,236.9,167.0,280.7,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-107,Demo Garnet WR-23,Demo Club Kestrel,WR,66,57.1,-8.9,Starter,245.2,180.2,290.6,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-111,Demo Garnet WR-27,Demo Club Grove,WR,67,77.2,10.2,Starter,236.2,166.6,268.1,1,3,3,Balanced fictional projection across the demo inputs.,True
SYN-169,Demo Solstice TE-13,Demo Club Comet,TE,68,60.1,-7.9,Starter,203.3,143.3,235.9,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-170,Demo Axiom TE-14,Demo Club Ember,TE,69,77.7,8.7,Starter,183.1,123.6,212.4,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-008,Demo Axiom QB-08,Demo Club Ember,QB,70,69.9,-0.1,Starter,316.3,227.7,374.8,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-110,Demo Axiom WR-26,Demo Club Ember,WR,71,74.5,3.5,Starter,231.1,169.8,279.6,4,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-048,Demo Axiom RB-24,Demo Club Aurora,RB,72,85.5,13.5,Starter,240.5,173.2,273.0,1,5,2,Stable illustrative workload with a narrow demo range.,True
SYN-047,Demo Solstice RB-23,Demo Club Kestrel,RB,73,73.8,0.8,Depth,226.5,163.1,262.7,2,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-113,Demo Solstice WR-29,Demo Club Kestrel,WR,74,62.4,-11.6,Depth,221.2,162.6,267.6,4,4,1,Stable illustrative workload with a narrow demo range.,True
SYN-010,Demo Mosaic QB-10,Demo Club Ion,QB,75,59.9,-15.1,Depth,293.1,206.6,340.0,2,2,3,Balanced fictional projection across the demo inputs.,True
SYN-050,Demo Mosaic RB-26,Demo Club Ember,RB,76,75.8,-0.2,Depth,224.5,161.6,271.6,4,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-112,Demo Mosaic WR-28,Demo Club Ion,WR,77,83.0,6.0,Depth,216.3,149.2,256.3,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-049,Demo Garnet RB-25,Demo Club Comet,RB,78,71.3,-6.7,Depth,231.0,166.3,273.8,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-009,Demo Garnet QB-09,Demo Club Grove,QB,79,72.2,-6.8,Depth,317.0,223.5,391.5,5,3,3,Balanced fictional projection across the demo inputs.,True
SYN-171,Demo Garnet TE-15,Demo Club Grove,TE,80,84.6,4.6,Depth,186.5,128.7,221.0,3,3,4,Balanced fictional projection across the demo inputs.,True
SYN-115,Demo Garnet WR-31,Demo Club Comet,WR,81,85.5,4.5,Depth,215.6,145.5,260.8,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-114,Demo Axiom WR-30,Demo Club Aurora,WR,82,67.6,-14.4,Depth,228.0,160.7,264.4,2,4,3,Balanced fictional projection across the demo inputs.,True
SYN-117,Demo Solstice WR-33,Demo Club Grove,WR,83,74.3,-8.7,Depth,212.4,149.8,246.4,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-173,Demo Solstice TE-17,Demo Club Kestrel,TE,84,88.3,4.3,Depth,182.9,126.2,216.8,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-172,Demo Mosaic TE-16,Demo Club Ion,TE,85,86.8,1.8,Depth,193.7,139.5,234.4,4,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-052,Demo Axiom RB-28,Demo Club Ion,RB,86,76.0,-10.0,Depth,209.3,147.5,248.0,3,2,3,Balanced fictional projection across the demo inputs.,True
SYN-011,Demo Solstice QB-11,Demo Club Kestrel,QB,87,76.6,-10.4,Depth,305.6,215.4,362.1,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-051,Demo Solstice RB-27,Demo Club Grove,RB,88,84.0,-4.0,Depth,211.8,152.5,256.3,4,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-174,Demo Axiom TE-18,Demo Club Aurora,TE,89,87.4,-1.6,Depth,182.7,126.1,216.5,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-053,Demo Garnet RB-29,Demo Club Kestrel,RB,90,85.2,-4.8,Depth,220.4,152.1,261.2,3,3,4,Balanced fictional projection across the demo inputs.,True
SYN-116,Demo Mosaic WR-32,Demo Club Ember,WR,91,103.5,12.5,Depth,223.4,157.5,264.7,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-054,Demo Mosaic RB-30,Demo Club Aurora,RB,92,87.4,-4.6,Depth,213.3,144.0,247.4,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-055,Demo Solstice RB-31,Demo Club Comet,RB,93,82.2,-10.8,Depth,206.5,142.5,244.7,3,1,4,Balanced fictional projection across the demo inputs.,True
SYN-175,Demo Garnet TE-19,Demo Club Comet,TE,94,101.9,7.9,Depth,179.5,126.5,208.2,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-118,Demo Axiom WR-34,Demo Club Ion,WR,95,104.0,9.0,Depth,211.1,148.8,250.1,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-056,Demo Axiom RB-32,Demo Club Ember,RB,96,103.0,7.0,Depth,214.6,157.7,254.3,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-013,Demo Garnet QB-13,Demo Club Comet,QB,97,71.9,-25.1,Depth,282.2,199.0,334.4,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-119,Demo Garnet WR-35,Demo Club Kestrel,WR,98,102.0,4.0,Depth,218.7,154.2,264.7,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-012,Demo Axiom QB-12,Demo Club Aurora,QB,99,106.4,7.4,Depth,295.5,203.9,364.9,5,3,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-121,Demo Solstice WR-37,Demo Club Comet,WR,100,90.5,-9.5,Depth,201.4,139.0,243.7,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-120,Demo Mosaic WR-36,Demo Club Aurora,WR,101,92.5,-8.5,Depth,215.0,151.6,260.2,4,2,3,Balanced fictional projection across the demo inputs.,True
SYN-123,Demo Garnet WR-39,Demo Club Grove,WR,102,87.4,-14.6,Depth,190.6,137.2,221.1,2,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-124,Demo Mosaic WR-40,Demo Club Ion,WR,103,99.1,-3.9,Depth,204.3,137.9,247.1,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-014,Demo Mosaic QB-14,Demo Club Ember,QB,104,113.5,9.5,Depth,265.0,178.9,314.0,3,1,5,Balanced fictional projection across the demo inputs.,True
SYN-058,Demo Mosaic RB-34,Demo Club Ion,RB,105,98.8,-6.2,Depth,205.3,144.7,248.4,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-057,Demo Garnet RB-33,Demo Club Grove,RB,106,109.5,3.5,Depth,197.9,139.6,234.6,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-060,Demo Axiom RB-36,Demo Club Aurora,RB,107,99.6,-7.4,Depth,192.3,129.8,227.9,3,1,5,Balanced fictional projection across the demo inputs.,True
SYN-122,Demo Axiom WR-38,Demo Club Ember,WR,108,108.3,0.3,Depth,202.2,145.6,234.6,2,3,2,Stable illustrative workload with a narrow demo range.,True
SYN-176,Demo Mosaic TE-20,Demo Club Ember,TE,109,112.9,3.9,Depth,159.6,110.1,193.1,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-125,Demo Solstice WR-41,Demo Club Kestrel,WR,110,101.3,-8.7,Depth,198.7,140.0,245.3,5,3,3,Balanced fictional projection across the demo inputs.,True
SYN-059,Demo Solstice RB-35,Demo Club Kestrel,RB,111,113.2,2.2,Depth,200.9,138.6,243.1,4,1,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-177,Demo Solstice TE-21,Demo Club Grove,TE,112,124.8,12.8,Depth,163.7,115.4,194.0,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-015,Demo Solstice QB-15,Demo Club Grove,QB,113,121.6,8.6,Depth,270.5,194.8,320.6,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-178,Demo Axiom TE-22,Demo Club Ion,TE,114,109.6,-4.4,Depth,161.3,113.7,191.1,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-061,Demo Garnet RB-37,Demo Club Comet,RB,115,106.9,-8.1,Depth,197.6,136.4,234.2,3,3,4,Balanced fictional projection across the demo inputs.,True
SYN-128,Demo Mosaic WR-44,Demo Club Ember,WR,116,103.3,-12.7,Depth,186.1,128.4,225.1,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-062,Demo Mosaic RB-38,Demo Club Ember,RB,117,116.6,-0.4,Depth,193.8,133.7,234.5,4,1,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-126,Demo Axiom WR-42,Demo Club Aurora,WR,118,105.9,-12.1,Depth,186.2,134.1,220.7,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-127,Demo Garnet WR-43,Demo Club Comet,WR,119,111.6,-7.4,Depth,184.2,127.1,222.9,4,3,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-179,Demo Garnet TE-23,Demo Club Kestrel,TE,120,132.1,12.1,Depth,152.6,103.0,177.0,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-063,Demo Solstice RB-39,Demo Club Grove,RB,121,108.4,-12.6,Development,188.9,136.0,223.8,3,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-181,Demo Solstice TE-25,Demo Club Comet,TE,122,130.5,8.5,Development,156.0,110.0,184.9,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-065,Demo Garnet RB-41,Demo Club Kestrel,RB,123,108.3,-14.7,Development,182.8,128.9,216.7,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-180,Demo Mosaic TE-24,Demo Club Aurora,TE,124,146.1,22.1,Development,161.4,113.8,195.3,4,4,3,Balanced fictional projection across the demo inputs.,True
SYN-064,Demo Axiom RB-40,Demo Club Ion,RB,125,111.6,-13.4,Development,169.9,119.8,201.3,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-016,Demo Axiom QB-16,Demo Club Ion,QB,126,129.4,3.4,Development,258.3,174.3,299.6,2,1,5,Balanced fictional projection across the demo inputs.,True
SYN-066,Demo Mosaic RB-42,Demo Club Aurora,RB,127,110.1,-16.9,Development,175.9,126.7,208.4,3,3,2,Stable illustrative workload with a narrow demo range.,True
SYN-129,Demo Solstice WR-45,Demo Club Grove,WR,128,128.7,0.7,Development,175.8,121.3,212.7,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-067,Demo Solstice RB-43,Demo Club Comet,RB,129,110.6,-18.4,Development,161.2,111.2,191.0,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-017,Demo Garnet QB-17,Demo Club Kestrel,QB,130,125.7,-4.3,Development,260.9,180.0,309.1,3,1,4,Balanced fictional projection across the demo inputs.,True
SYN-130,Demo Axiom WR-46,Demo Club Ion,WR,131,129.2,-1.8,Development,188.0,129.7,222.7,3,2,4,Balanced fictional projection across the demo inputs.,True
SYN-131,Demo Garnet WR-47,Demo Club Kestrel,WR,132,130.2,-1.8,Development,174.8,123.2,202.8,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-182,Demo Axiom TE-26,Demo Club Ember,TE,133,133.0,0.0,Development,141.8,104.2,168.0,3,4,1,Stable illustrative workload with a narrow demo range.,True
SYN-132,Demo Mosaic WR-48,Demo Club Aurora,WR,134,131.1,-2.9,Development,167.8,118.3,198.8,3,3,3,Balanced fictional projection across the demo inputs.,True
SYN-184,Demo Mosaic TE-28,Demo Club Ion,TE,135,124.2,-10.8,Development,139.5,96.3,165.3,3,2,4,Later-stage fictional profile intended for depth testing.,True
SYN-133,Demo Solstice WR-49,Demo Club Comet,WR,136,133.4,-2.6,Development,165.8,114.4,200.7,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-183,Demo Garnet TE-27,Demo Club Grove,TE,137,131.5,-5.5,Development,129.2,89.1,156.3,4,3,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-068,Demo Axiom RB-44,Demo Club Ember,RB,138,143.1,5.1,Development,170.5,117.7,197.8,2,2,4,Later-stage fictional profile intended for depth testing.,True
SYN-069,Demo Garnet RB-45,Demo Club Grove,RB,139,118.9,-20.1,Development,152.2,107.3,180.4,3,4,3,Later-stage fictional profile intended for depth testing.,True
SYN-135,Demo Garnet WR-51,Demo Club Grove,WR,140,136.4,-3.6,Development,169.9,119.8,205.6,4,3,3,Balanced fictional projection across the demo inputs.,True
SYN-134,Demo Axiom WR-50,Demo Club Ember,WR,141,147.1,6.1,Development,179.4,126.5,208.1,2,3,3,Balanced fictional projection across the demo inputs.,True
SYN-019,Demo Solstice QB-19,Demo Club Comet,QB,142,146.3,4.3,Development,233.6,161.2,276.8,3,2,4,Later-stage fictional profile intended for depth testing.,True
SYN-018,Demo Mosaic QB-18,Demo Club Aurora,QB,143,134.2,-8.8,Development,237.7,164.0,275.7,2,3,4,Later-stage fictional profile intended for depth testing.,True
SYN-186,Demo Axiom TE-30,Demo Club Aurora,TE,144,162.2,18.2,Development,124.8,91.7,147.9,3,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-020,Demo Axiom QB-20,Demo Club Ember,QB,145,147.3,2.3,Development,238.9,164.9,283.2,3,2,4,Later-stage fictional profile intended for depth testing.,True
SYN-070,Demo Mosaic RB-46,Demo Club Ion,RB,146,159.2,13.2,Development,154.9,104.6,187.5,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-185,Demo Solstice TE-29,Demo Club Kestrel,TE,147,143.9,-3.1,Development,121.7,82.2,150.3,5,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-071,Demo Solstice RB-47,Demo Club Kestrel,RB,148,146.9,-1.1,Development,149.6,105.5,184.8,5,3,3,Later-stage fictional profile intended for depth testing.,True
SYN-136,Demo Mosaic WR-52,Demo Club Ion,WR,149,139.7,-9.3,Development,160.8,108.5,194.5,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-072,Demo Axiom RB-48,Demo Club Aurora,RB,150,161.4,11.4,Development,144.1,99.5,170.8,3,1,4,Later-stage fictional profile intended for depth testing.,True
SYN-137,Demo Solstice WR-53,Demo Club Kestrel,WR,151,166.4,15.4,Development,161.6,114.0,195.6,4,4,3,Later-stage fictional profile intended for depth testing.,True
SYN-139,Demo Garnet WR-55,Demo Club Comet,WR,152,144.7,-7.3,Development,156.8,112.9,189.7,4,4,2,Stable illustrative workload with a narrow demo range.,True
SYN-140,Demo Mosaic WR-56,Demo Club Ember,WR,153,136.0,-17.0,Development,154.3,106.5,186.7,4,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-138,Demo Axiom WR-54,Demo Club Aurora,WR,154,158.2,4.2,Development,160.1,112.9,189.8,3,4,3,Later-stage fictional profile intended for depth testing.,True
SYN-187,Demo Garnet TE-31,Demo Club Comet,TE,155,191.0,36.0,Development,124.7,87.9,150.9,4,4,3,Later-stage fictional profile intended for depth testing.,True
SYN-075,Demo Solstice RB-51,Demo Club Grove,RB,156,152.8,-3.2,Development,133.7,90.2,155.1,2,1,5,Later-stage fictional profile intended for depth testing.,True
SYN-141,Demo Solstice WR-57,Demo Club Grove,WR,157,161.6,4.6,Development,143.3,105.4,166.3,2,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-074,Demo Mosaic RB-50,Demo Club Ember,RB,158,175.7,17.7,Development,141.8,95.7,171.6,4,1,5,High-variance illustrative profile with extra demo ceiling.,True
SYN-073,Demo Garnet RB-49,Demo Club Comet,RB,159,159.6,0.6,Development,145.0,100.0,171.8,3,3,4,Later-stage fictional profile intended for depth testing.,True
SYN-021,Demo Garnet QB-21,Demo Club Grove,QB,160,152.2,-7.8,Development,219.9,161.7,255.1,2,5,1,Stable illustrative workload with a narrow demo range.,True
SYN-143,Demo Garnet WR-59,Demo Club Kestrel,WR,161,155.7,-5.3,Development,155.3,107.2,191.8,5,2,4,High-variance illustrative profile with extra demo ceiling.,True
SYN-142,Demo Axiom WR-58,Demo Club Ion,WR,162,171.7,9.7,Development,155.0,109.3,179.9,2,2,3,Later-stage fictional profile intended for depth testing.,True
SYN-077,Demo Garnet RB-53,Demo Club Kestrel,RB,163,153.7,-9.3,Development,135.4,93.4,160.4,3,3,4,Later-stage fictional profile intended for depth testing.,True
SYN-189,Demo Solstice TE-33,Demo Club Grove,TE,164,182.1,18.1,Development,110.6,74.6,131.0,3,1,5,Later-stage fictional profile intended for depth testing.,True
