player_id,season_index,season_label,games,points,points_per_game,opportunities_per_game,is_synthetic
SYN-001,-3,Demo year -3,14,347.3,24.8,34.59,True
SYN-001,-2,Demo year -2,16,356.3,22.27,36.2,True
SYN-001,-1,Demo year -1,15,362.7,24.18,37.09,True
SYN-001,0,Current demo,17,389.1,22.89,38.23,True
SYN-090,-3,Demo year -3,16,299.7,18.73,9.5,True
SYN-090,-2,Demo year -2,15,268.5,17.9,7.55,True
SYN-090,-1,Demo year -1,14,306.1,21.86,10.91,True
SYN-090,0,Current demo,14,270.3,19.31,9.4,True
SYN-092,-3,Demo year -3,15,246.3,16.42,7.79,True
SYN-092,-2,Demo year -2,13,272.4,20.95,8.06,True
SYN-092,-1,Demo year -1,13,295.2,22.71,7.76,True
SYN-092,0,Current demo,15,304.1,20.28,9.16,True
SYN-091,-3,Demo year -3,15,266.7,17.78,10.02,True
SYN-091,-2,Demo year -2,14,277.2,19.8,8.55,True
SYN-091,-1,Demo year -1,16,288.4,18.03,9.5,True
SYN-091,0,Current demo,14,277.5,19.82,11.93,True
SYN-093,-3,Demo year -3,17,296.4,17.44,11.83,True
SYN-093,-2,Demo year -2,16,274.5,17.16,9.42,True
SYN-093,-1,Demo year -1,13,283.1,21.77,11.17,True
SYN-093,0,Current demo,15,272.9,18.19,11.78,True
SYN-095,-3,Demo year -3,17,236.4,13.9,10.34,True
SYN-095,-2,Demo year -2,15,235.9,15.73,9.66,True
SYN-095,-1,Demo year -1,14,253.7,18.12,8.32,True
SYN-095,0,Current demo,17,283.6,16.68,7.17,True
SYN-158,-3,Demo year -3,17,231.3,13.6,8.82,True
SYN-158,-2,Demo year -2,13,240.6,18.51,7.59,True
SYN-158,-1,Demo year -1,16,271.8,16.99,7.41,True
SYN-158,0,Current demo,15,265.1,17.67,7.44,True
SYN-032,-3,Demo year -3,14,279.4,19.96,16.72,True
SYN-032,-2,Demo year -2,15,274.8,18.32,14.72,True
SYN-032,-1,Demo year -1,15,286.3,19.08,15.37,True
SYN-032,0,Current demo,15,310.1,20.67,18.96,True
SYN-031,-3,Demo year -3,17,311.1,18.3,17.69,True
SYN-031,-2,Demo year -2,17,305.6,17.98,17.03,True
SYN-031,-1,Demo year -1,13,272.6,20.97,15.47,True
SYN-031,0,Current demo,13,302.0,23.23,17.65,True
SYN-034,-3,Demo year -3,17,269.9,15.87,17.59,True
SYN-034,-2,Demo year -2,17,251.8,14.81,19.24,True
SYN-034,-1,Demo year -1,16,279.1,17.45,17.89,True
SYN-034,0,Current demo,16,270.7,16.92,16.6,True
SYN-096,-3,Demo year -3,15,236.6,15.78,11.89,True
SYN-096,-2,Demo year -2,15,226.2,15.08,10.73,True
SYN-096,-1,Demo year -1,17,244.6,14.39,11.29,True
SYN-096,0,Current demo,15,248.9,16.59,9.63,True
SYN-033,-3,Demo year -3,16,258.6,16.16,17.27,True
SYN-033,-2,Demo year -2,16,286.3,17.89,19.07,True
SYN-033,-1,Demo year -1,17,275.1,16.18,17.0,True
SYN-033,0,Current demo,13,310.2,23.86,18.16,True
SYN-159,-3,Demo year -3,14,218.2,15.59,4.94,True
SYN-159,-2,Demo year -2,17,250.7,14.75,5.99,True
SYN-159,-1,Demo year -1,15,243.1,16.2,4.49,True
SYN-159,0,Current demo,15,245.2,16.35,4.44,True
SYN-094,-3,Demo year -3,15,268.9,17.92,10.6,True
SYN-094,-2,Demo year -2,13,245.6,18.89,8.84,True
SYN-094,-1,Demo year -1,17,255.7,15.04,10.1,True
SYN-094,0,Current demo,14,244.0,17.43,8.63,True
SYN-160,-3,Demo year -3,13,213.1,16.39,6.43,True
SYN-160,-2,Demo year -2,15,221.9,14.79,4.94,True
SYN-160,-1,Demo year -1,17,223.4,13.14,8.28,True
SYN-160,0,Current demo,14,244.2,17.44,5.2,True
SYN-002,-3,Demo year -3,15,309.2,20.62,38.09,True
SYN-002,-2,Demo year -2,16,349.4,21.84,35.3,True
SYN-002,-1,Demo year -1,17,365.4,21.49,35.03,True
SYN-002,0,Current demo,13,406.9,31.3,36.02,True
SYN-035,-3,Demo year -3,16,246.3,15.39,15.64,True
SYN-035,-2,Demo year -2,13,234.0,18.0,18.54,True
SYN-035,-1,Demo year -1,17,252.6,14.86,17.91,True
SYN-035,0,Current demo,17,290.8,17.11,19.42,True
SYN-098,-3,Demo year -3,17,251.2,14.78,10.79,True
SYN-098,-2,Demo year -2,14,243.4,17.38,10.32,True
SYN-098,-1,Demo year -1,14,269.8,19.27,9.59,True
SYN-098,0,Current demo,15,249.8,16.65,8.58,True
SYN-036,-3,Demo year -3,16,303.5,18.97,18.92,True
SYN-036,-2,Demo year -2,15,258.4,17.23,15.34,True
SYN-036,-1,Demo year -1,17,297.9,17.52,16.46,True
SYN-036,0,Current demo,15,282.4,18.83,14.78,True
SYN-097,-3,Demo year -3,15,277.0,18.47,10.52,True
SYN-097,-2,Demo year -2,13,264.1,20.31,9.88,True
SYN-097,-1,Demo year -1,13,248.2,19.09,9.37,True
SYN-097,0,Current demo,17,274.7,16.16,10.16,True
SYN-161,-3,Demo year -3,16,227.9,14.24,5.33,True
SYN-161,-2,Demo year -2,16,244.6,15.29,6.94,True
SYN-161,-1,Demo year -1,16,244.5,15.28,7.15,True
SYN-161,0,Current demo,14,257.1,18.36,6.87,True
SYN-003,-3,Demo year -3,15,325.3,21.69,36.62,True
SYN-003,-2,Demo year -2,17,342.9,20.17,35.05,True
SYN-003,-1,Demo year -1,14,362.7,25.91,33.95,True
SYN-003,0,Current demo,14,391.9,27.99,36.81,True
SYN-037,-3,Demo year -3,16,281.1,17.57,14.81,True
SYN-037,-2,Demo year -2,16,288.1,18.0,18.86,True
SYN-037,-1,Demo year -1,14,288.4,20.6,14.53,True
SYN-037,0,Current demo,13,250.8,19.29,15.22,True
SYN-099,-3,Demo year -3,14,259.6,18.54,9.94,True
SYN-099,-2,Demo year -2,16,239.1,14.95,8.84,True
SYN-099,-1,Demo year -1,14,253.3,18.1,8.66,True
SYN-099,0,Current demo,14,270.3,19.31,7.3,True
SYN-038,-3,Demo year -3,16,220.3,13.77,17.77,True
SYN-038,-2,Demo year -2,14,221.2,15.8,17.11,True
SYN-038,-1,Demo year -1,15,237.2,15.81,18.87,True
SYN-038,0,Current demo,14,253.7,18.12,17.72,True
SYN-164,-3,Demo year -3,17,204.2,12.01,4.93,True
SYN-164,-2,Demo year -2,17,216.7,12.75,7.25,True
SYN-164,-1,Demo year -1,14,198.9,14.21,4.39,True
SYN-164,0,Current demo,17,208.8,12.28,5.49,True
SYN-005,-3,Demo year -3,13,312.5,24.04,38.22,True
SYN-005,-2,Demo year -2,17,326.6,19.21,37.35,True
SYN-005,-1,Demo year -1,17,341.4,20.08,37.95,True
SYN-005,0,Current demo,15,353.9,23.59,36.73,True
SYN-100,-3,Demo year -3,16,264.3,16.52,11.61,True
SYN-100,-2,Demo year -2,16,273.6,17.1,7.44,True
SYN-100,-1,Demo year -1,16,267.9,16.74,10.97,True
SYN-100,0,Current demo,14,293.6,20.97,7.87,True
SYN-004,-3,Demo year -3,17,337.2,19.83,37.21,True
SYN-004,-2,Demo year -2,14,345.4,24.67,36.6,True
SYN-004,-1,Demo year -1,13,350.4,26.96,33.97,True
SYN-004,0,Current demo,17,362.9,21.35,34.95,True
SYN-040,-3,Demo year -3,15,243.4,16.23,19.27,True
SYN-040,-2,Demo year -2,17,271.1,15.95,15.89,True
SYN-040,-1,Demo year -1,16,249.8,15.61,16.25,True
SYN-040,0,Current demo,15,251.8,16.78,17.14,True
SYN-162,-3,Demo year -3,17,230.6,13.57,6.09,True
SYN-162,-2,Demo year -2,16,223.0,13.94,8.34,True
SYN-162,-1,Demo year -1,14,211.9,15.13,4.99,True
SYN-162,0,Current demo,16,216.4,13.53,8.91,True
SYN-101,-3,Demo year -3,17,238.4,14.03,11.33,True
SYN-101,-2,Demo year -2,13,227.2,17.47,11.27,True
SYN-101,-1,Demo year -1,14,223.4,15.95,8.49,True
SYN-101,0,Current demo,15,239.3,15.95,11.71,True
SYN-041,-3,Demo year -3,13,253.0,19.46,16.95,True
SYN-041,-2,Demo year -2,14,253.5,18.11,19.25,True
SYN-041,-1,Demo year -1,14,243.7,17.41,16.27,True
SYN-041,0,Current demo,15,232.6,15.51,16.11,True
SYN-039,-3,Demo year -3,13,264.5,20.35,16.23,True
SYN-039,-2,Demo year -2,13,233.6,17.97,17.87,True
SYN-039,-1,Demo year -1,15,272.8,18.19,18.1,True
SYN-039,0,Current demo,17,246.2,14.48,15.22,True
SYN-102,-3,Demo year -3,16,269.8,16.86,11.76,True
SYN-102,-2,Demo year -2,16,246.0,15.37,7.9,True
SYN-102,-1,Demo year -1,15,249.2,16.61,10.28,True
SYN-102,0,Current demo,17,250.0,14.7,11.83,True
SYN-165,-3,Demo year -3,13,217.4,16.72,5.72,True
SYN-165,-2,Demo year -2,15,204.9,13.66,5.69,True
SYN-165,-1,Demo year -1,14,208.3,14.88,5.05,True
SYN-165,0,Current demo,14,208.8,14.91,8.67,True
SYN-103,-3,Demo year -3,16,247.7,15.48,10.38,True
SYN-103,-2,Demo year -2,16,251.9,15.75,9.47,True
SYN-103,-1,Demo year -1,17,239.1,14.07,11.29,True
SYN-103,0,Current demo,15,235.7,15.72,9.47,True
SYN-163,-3,Demo year -3,14,214.7,15.34,5.17,True
SYN-163,-2,Demo year -2,17,222.3,13.08,9.2,True
SYN-163,-1,Demo year -1,15,235.3,15.68,7.03,True
SYN-163,0,Current demo,15,207.2,13.81,6.69,True
SYN-166,-3,Demo year -3,14,185.3,13.23,6.24,True
SYN-166,-2,Demo year -2,15,227.0,15.13,8.11,True
SYN-166,-1,Demo year -1,14,225.1,16.08,7.62,True
SYN-166,0,Current demo,15,244.2,16.28,7.04,True
SYN-042,-3,Demo year -3,16,225.8,14.11,15.18,True
SYN-042,-2,Demo year -2,16,250.5,15.66,16.16,True
SYN-042,-1,Demo year -1,17,238.0,14.0,17.79,True
SYN-042,0,Current demo,14,269.5,19.25,16.7,True
SYN-006,-3,Demo year -3,16,350.7,21.92,36.97,True
SYN-006,-2,Demo year -2,17,318.9,18.76,36.11,True
SYN-006,-1,Demo year -1,13,345.9,26.61,38.17,True
SYN-006,0,Current demo,15,317.8,21.18,37.73,True
SYN-106,-3,Demo year -3,16,237.5,14.85,10.26,True
SYN-106,-2,Demo year -2,13,247.2,19.02,7.15,True
SYN-106,-1,Demo year -1,17,266.3,15.66,7.35,True
SYN-106,0,Current demo,17,230.2,13.54,7.11,True
SYN-105,-3,Demo year -3,14,226.6,16.19,11.1,True
SYN-105,-2,Demo year -2,13,254.5,19.58,11.49,True
SYN-105,-1,Demo year -1,16,249.0,15.56,9.29,True
SYN-105,0,Current demo,16,253.4,15.84,9.25,True
SYN-104,-3,Demo year -3,17,233.1,13.71,9.02,True
SYN-104,-2,Demo year -2,13,270.6,20.82,7.89,True
SYN-104,-1,Demo year -1,13,259.5,19.96,11.11,True
SYN-104,0,Current demo,15,242.7,16.18,7.56,True
SYN-007,-3,Demo year -3,13,341.6,26.28,33.92,True
SYN-007,-2,Demo year -2,17,339.3,19.96,38.13,True
SYN-007,-1,Demo year -1,14,324.4,23.17,36.37,True
SYN-007,0,Current demo,15,325.4,21.69,36.5,True
SYN-043,-3,Demo year -3,13,228.0,17.54,16.41,True
SYN-043,-2,Demo year -2,15,227.1,15.14,16.89,True
SYN-043,-1,Demo year -1,16,231.2,14.45,17.39,True
SYN-043,0,Current demo,13,273.2,21.02,17.07,True
SYN-167,-3,Demo year -3,16,169.7,10.61,8.36,True
SYN-167,-2,Demo year -2,15,178.8,11.92,8.65,True
SYN-167,-1,Demo year -1,14,193.8,13.84,6.35,True
SYN-167,0,Current demo,17,187.5,11.03,5.14,True
SYN-046,-3,Demo year -3,15,221.9,14.79,16.55,True
SYN-046,-2,Demo year -2,15,224.2,14.95,18.1,True
SYN-046,-1,Demo year -1,17,223.1,13.12,15.13,True
SYN-046,0,Current demo,15,247.5,16.5,18.92,True
SYN-044,-3,Demo year -3,15,237.9,15.86,19.42,True
SYN-044,-2,Demo year -2,17,255.0,15.0,18.39,True
SYN-044,-1,Demo year -1,16,238.3,14.89,15.49,True
SYN-044,0,Current demo,16,219.1,13.69,19.17,True
SYN-109,-3,Demo year -3,13,204.1,15.7,9.7,True
SYN-109,-2,Demo year -2,17,245.9,14.46,9.04,True
SYN-109,-1,Demo year -1,13,227.9,17.53,9.46,True
SYN-109,0,Current demo,13,228.7,17.59,8.78,True
SYN-168,-3,Demo year -3,14,202.7,14.48,5.5,True
SYN-168,-2,Demo year -2,17,194.4,11.43,5.4,True
SYN-168,-1,Demo year -1,16,190.9,11.93,8.11,True
SYN-168,0,Current demo,17,195.0,11.47,7.1,True
SYN-045,-3,Demo year -3,15,208.8,13.92,15.61,True
SYN-045,-2,Demo year -2,17,220.0,12.94,18.06,True
SYN-045,-1,Demo year -1,15,234.5,15.64,18.44,True
SYN-045,0,Current demo,14,225.6,16.11,17.14,True
SYN-108,-3,Demo year -3,17,232.7,13.69,11.1,True
SYN-108,-2,Demo year -2,16,217.9,13.62,10.82,True
SYN-108,-1,Demo year -1,17,230.0,13.53,7.03,True
SYN-108,0,Current demo,17,243.9,14.35,9.26,True
SYN-107,-3,Demo year -3,13,247.9,19.07,9.87,True
SYN-107,-2,Demo year -2,13,258.3,19.87,11.39,True
SYN-107,-1,Demo year -1,13,237.0,18.23,8.06,True
SYN-107,0,Current demo,13,271.5,20.88,9.42,True
SYN-111,-3,Demo year -3,16,203.7,12.73,8.91,True
SYN-111,-2,Demo year -2,16,207.9,12.99,8.5,True
SYN-111,-1,Demo year -1,15,244.0,16.27,6.9,True
SYN-111,0,Current demo,16,262.8,16.43,7.41,True
SYN-169,-3,Demo year -3,14,186.4,13.31,7.69,True
SYN-169,-2,Demo year -2,13,187.2,14.4,4.69,True
SYN-169,-1,Demo year -1,15,203.7,13.58,6.03,True
SYN-169,0,Current demo,14,201.0,14.36,9.12,True
SYN-170,-3,Demo year -3,15,149.4,9.96,8.36,True
SYN-170,-2,Demo year -2,17,159.3,9.37,7.6,True
SYN-170,-1,Demo year -1,16,195.5,12.22,5.55,True
SYN-170,0,Current demo,13,205.5,15.81,6.04,True
SYN-008,-3,Demo year -3,13,304.7,23.44,34.64,True
SYN-008,-2,Demo year -2,13,336.7,25.9,37.95,True
SYN-008,-1,Demo year -1,17,333.9,19.64,35.67,True
SYN-008,0,Current demo,13,297.6,22.89,34.95,True
SYN-110,-3,Demo year -3,15,224.6,14.97,11.21,True
SYN-110,-2,Demo year -2,14,241.2,17.23,10.37,True
SYN-110,-1,Demo year -1,15,226.3,15.09,9.84,True
SYN-110,0,Current demo,14,228.3,16.31,11.31,True
SYN-048,-3,Demo year -3,17,203.0,11.94,17.42,True
SYN-048,-2,Demo year -2,13,229.2,17.63,16.56,True
SYN-048,-1,Demo year -1,13,227.7,17.51,15.94,True
SYN-048,0,Current demo,13,257.5,19.81,16.69,True
SYN-047,-3,Demo year -3,17,217.3,12.78,18.35,True
SYN-047,-2,Demo year -2,15,248.6,16.57,15.3,True
SYN-047,-1,Demo year -1,16,210.5,13.16,16.2,True
SYN-047,0,Current demo,17,243.6,14.33,14.96,True
SYN-113,-3,Demo year -3,15,216.0,14.4,11.56,True
SYN-113,-2,Demo year -2,13,236.8,18.22,10.15,True
SYN-113,-1,Demo year -1,13,222.3,17.1,10.13,True
SYN-113,0,Current demo,13,216.1,16.62,9.71,True
SYN-010,-3,Demo year -3,16,289.0,18.06,35.65,True
SYN-010,-2,Demo year -2,16,284.8,17.8,37.31,True
SYN-010,-1,Demo year -1,16,304.1,19.01,35.87,True
SYN-010,0,Current demo,16,277.0,17.31,35.88,True
SYN-050,-3,Demo year -3,17,178.4,10.49,17.89,True
SYN-050,-2,Demo year -2,16,220.4,13.78,15.91,True
SYN-050,-1,Demo year -1,13,244.9,18.84,18.21,True
SYN-050,0,Current demo,17,256.9,15.11,19.06,True
SYN-112,-3,Demo year -3,13,204.4,15.73,11.43,True
SYN-112,-2,Demo year -2,16,216.4,13.52,9.59,True
SYN-112,-1,Demo year -1,13,203.2,15.63,11.47,True
SYN-112,0,Current demo,13,203.0,15.62,8.26,True
SYN-049,-3,Demo year -3,17,214.7,12.63,15.41,True
SYN-049,-2,Demo year -2,13,228.6,17.58,18.19,True
SYN-049,-1,Demo year -1,15,239.8,15.99,15.02,True
SYN-049,0,Current demo,14,225.8,16.13,16.84,True
SYN-009,-3,Demo year -3,14,297.5,21.25,35.23,True
SYN-009,-2,Demo year -2,14,299.6,21.4,35.89,True
SYN-009,-1,Demo year -1,16,307.2,19.2,36.05,True
SYN-009,0,Current demo,17,347.7,20.45,34.66,True
SYN-171,-3,Demo year -3,17,175.6,10.33,8.32,True
SYN-171,-2,Demo year -2,14,166.7,11.91,8.93,True
SYN-171,-1,Demo year -1,13,195.2,15.02,7.5,True
SYN-171,0,Current demo,16,198.3,12.4,8.26,True
SYN-115,-3,Demo year -3,16,228.9,14.31,7.67,True
SYN-115,-2,Demo year -2,13,236.8,18.22,8.14,True
SYN-115,-1,Demo year -1,15,210.3,14.02,7.13,True
SYN-115,0,Current demo,16,203.0,12.69,8.7,True
SYN-114,-3,Demo year -3,16,224.0,14.0,6.74,True
SYN-114,-2,Demo year -2,13,212.3,16.33,7.51,True
SYN-114,-1,Demo year -1,13,215.3,16.56,9.91,True
SYN-114,0,Current demo,16,225.4,14.08,9.09,True
SYN-117,-3,Demo year -3,13,209.0,16.08,6.96,True
SYN-117,-2,Demo year -2,17,214.2,12.6,11.15,True
SYN-117,-1,Demo year -1,17,219.7,12.92,8.88,True
SYN-117,0,Current demo,15,197.5,13.17,9.44,True
SYN-173,-3,Demo year -3,13,197.5,15.19,5.6,True
SYN-173,-2,Demo year -2,16,204.8,12.8,5.22,True
SYN-173,-1,Demo year -1,14,180.5,12.9,7.42,True
SYN-173,0,Current demo,14,197.3,14.09,8.57,True
SYN-172,-3,Demo year -3,17,166.7,9.81,7.08,True
SYN-172,-2,Demo year -2,14,178.8,12.77,8.94,True
SYN-172,-1,Demo year -1,17,200.9,11.82,8.03,True
SYN-172,0,Current demo,15,180.2,12.02,7.22,True
SYN-052,-3,Demo year -3,13,194.5,14.96,16.54,True
SYN-052,-2,Demo year -2,16,187.4,11.71,18.0,True
SYN-052,-1,Demo year -1,14,223.7,15.98,16.29,True
SYN-052,0,Current demo,13,199.5,15.35,15.8,True
SYN-011,-3,Demo year -3,13,263.6,20.28,37.48,True
SYN-011,-2,Demo year -2,15,278.0,18.54,36.38,True
SYN-011,-1,Demo year -1,14,305.7,21.83,34.13,True
SYN-011,0,Current demo,13,324.6,24.97,35.07,True
SYN-051,-3,Demo year -3,13,216.0,16.61,17.99,True
SYN-051,-2,Demo year -2,13,225.8,17.37,19.16,True
SYN-051,-1,Demo year -1,17,217.0,12.76,16.94,True
SYN-051,0,Current demo,14,228.1,16.29,17.55,True
SYN-174,-3,Demo year -3,16,173.5,10.85,5.39,True
SYN-174,-2,Demo year -2,16,162.9,10.18,6.84,True
SYN-174,-1,Demo year -1,13,196.5,15.12,6.71,True
SYN-174,0,Current demo,13,183.8,14.14,7.06,True
SYN-053,-3,Demo year -3,17,240.6,14.15,16.07,True
SYN-053,-2,Demo year -2,13,223.9,17.22,16.14,True
SYN-053,-1,Demo year -1,13,218.2,16.79,15.34,True
SYN-053,0,Current demo,15,212.8,14.19,18.73,True
SYN-116,-3,Demo year -3,16,227.6,14.23,9.81,True
SYN-116,-2,Demo year -2,16,234.6,14.66,8.79,True
SYN-116,-1,Demo year -1,17,243.2,14.3,10.55,True
SYN-116,0,Current demo,17,225.0,13.24,11.1,True
SYN-054,-3,Demo year -3,14,230.6,16.47,18.05,True
SYN-054,-2,Demo year -2,14,235.2,16.8,15.4,True
SYN-054,-1,Demo year -1,16,213.8,13.36,15.82,True
SYN-054,0,Current demo,13,209.1,16.08,17.79,True
SYN-055,-3,Demo year -3,13,189.5,14.58,16.58,True
SYN-055,-2,Demo year -2,17,193.0,11.36,17.88,True
SYN-055,-1,Demo year -1,17,202.0,11.88,17.58,True
SYN-055,0,Current demo,17,225.3,13.25,16.07,True
SYN-175,-3,Demo year -3,15,192.9,12.86,8.24,True
SYN-175,-2,Demo year -2,17,181.8,10.7,4.35,True
SYN-175,-1,Demo year -1,16,192.0,12.0,6.31,True
SYN-175,0,Current demo,15,157.9,10.53,4.79,True
SYN-118,-3,Demo year -3,15,215.3,14.35,7.79,True
SYN-118,-2,Demo year -2,13,193.9,14.91,7.61,True
SYN-118,-1,Demo year -1,16,189.8,11.86,10.69,True
SYN-118,0,Current demo,14,210.4,15.03,8.71,True
SYN-056,-3,Demo year -3,14,217.8,15.55,16.39,True
SYN-056,-2,Demo year -2,16,224.2,14.01,15.54,True
SYN-056,-1,Demo year -1,15,200.8,13.39,17.02,True
SYN-056,0,Current demo,15,203.8,13.59,16.64,True
SYN-013,-3,Demo year -3,15,286.7,19.11,36.77,True
SYN-013,-2,Demo year -2,16,299.5,18.72,34.7,True
SYN-013,-1,Demo year -1,17,267.1,15.71,36.56,True
SYN-013,0,Current demo,15,262.4,17.49,35.71,True
SYN-119,-3,Demo year -3,13,206.6,15.89,6.83,True
SYN-119,-2,Demo year -2,16,192.4,12.02,9.45,True
SYN-119,-1,Demo year -1,15,210.8,14.05,9.34,True
SYN-119,0,Current demo,14,232.4,16.6,10.63,True
SYN-012,-3,Demo year -3,17,307.6,18.09,37.78,True
SYN-012,-2,Demo year -2,14,289.6,20.68,35.56,True
SYN-012,-1,Demo year -1,17,288.6,16.98,35.96,True
SYN-012,0,Current demo,13,285.1,21.93,34.03,True
SYN-121,-3,Demo year -3,15,182.5,12.16,9.44,True
SYN-121,-2,Demo year -2,13,213.4,16.42,11.31,True
SYN-121,-1,Demo year -1,15,206.4,13.76,6.44,True
SYN-121,0,Current demo,15,198.2,13.22,9.32,True
SYN-120,-3,Demo year -3,16,221.5,13.85,10.86,True
SYN-120,-2,Demo year -2,14,226.3,16.16,11.06,True
SYN-120,-1,Demo year -1,15,234.4,15.63,10.26,True
SYN-120,0,Current demo,13,207.1,15.93,10.46,True
SYN-123,-3,Demo year -3,16,168.0,10.5,9.79,True
SYN-123,-2,Demo year -2,17,202.6,11.92,7.7,True
SYN-123,-1,Demo year -1,15,196.9,13.13,10.73,True
SYN-123,0,Current demo,13,192.4,14.8,9.08,True
SYN-124,-3,Demo year -3,15,202.8,13.52,11.2,True
SYN-124,-2,Demo year -2,14,211.2,15.09,7.79,True
SYN-124,-1,Demo year -1,16,184.3,11.52,9.69,True
SYN-124,0,Current demo,13,219.9,16.91,10.41,True
SYN-014,-3,Demo year -3,15,263.5,17.56,33.64,True
SYN-014,-2,Demo year -2,13,260.0,20.0,34.82,True
SYN-014,-1,Demo year -1,17,255.5,15.03,35.75,True
SYN-014,0,Current demo,15,262.3,17.48,36.86,True
SYN-058,-3,Demo year -3,15,196.0,13.07,15.72,True
SYN-058,-2,Demo year -2,16,179.4,11.21,16.32,True
SYN-058,-1,Demo year -1,13,211.7,16.29,17.53,True
SYN-058,0,Current demo,16,235.7,14.73,18.73,True
SYN-057,-3,Demo year -3,15,182.2,12.15,14.67,True
SYN-057,-2,Demo year -2,16,207.3,12.96,14.5,True
SYN-057,-1,Demo year -1,15,194.3,12.95,16.47,True
SYN-057,0,Current demo,15,181.4,12.09,14.36,True
SYN-060,-3,Demo year -3,13,211.6,16.28,16.08,True
SYN-060,-2,Demo year -2,17,208.0,12.24,18.42,True
SYN-060,-1,Demo year -1,16,205.9,12.87,18.07,True
SYN-060,0,Current demo,15,200.4,13.36,17.65,True
SYN-122,-3,Demo year -3,13,227.6,17.51,8.69,True
SYN-122,-2,Demo year -2,14,197.9,14.13,9.13,True
SYN-122,-1,Demo year -1,15,190.5,12.7,9.58,True
SYN-122,0,Current demo,16,211.5,13.22,6.34,True
SYN-176,-3,Demo year -3,13,134.5,10.34,4.7,True
SYN-176,-2,Demo year -2,14,140.8,10.06,5.28,True
SYN-176,-1,Demo year -1,15,146.4,9.76,6.41,True
SYN-176,0,Current demo,15,159.5,10.63,7.17,True
SYN-125,-3,Demo year -3,17,178.5,10.5,9.92,True
SYN-125,-2,Demo year -2,13,182.6,14.04,8.6,True
SYN-125,-1,Demo year -1,17,178.1,10.48,6.31,True
SYN-125,0,Current demo,17,193.0,11.36,6.32,True
SYN-059,-3,Demo year -3,17,198.6,11.68,14.34,True
SYN-059,-2,Demo year -2,17,212.7,12.51,18.59,True
SYN-059,-1,Demo year -1,13,210.2,16.17,16.4,True
SYN-059,0,Current demo,15,210.3,14.02,16.09,True
SYN-177,-3,Demo year -3,17,174.6,10.27,9.1,True
